"X","cig_tax","female_leg","liberal","dem_gov","healthspendpc","state","year"
1224,0.679858,17.8,16.437488,1,5.316,"Wyoming",2004
1225,0.505958,10.7,13.50357,0,5.58,"Alabama",2005
1226,1.59116,18.3,15.845481,0,7.239,"Alaska",2005
1227,1.26163,33.3,18.983121,1,4.674,"Arizona",2005
1228,0.715613,16.3,15.356043,0,5.209,"Arkansas",2005
1229,0.802893,30.8,26.956952,0,5.098,"California",2005
1230,0.847585,33,21.570334,0,4.968,"Colorado",2005
1231,1.3285,29.4,21.572092,0,7.05,"Connecticut",2005
1232,0.591858,33.9,53.054199,1,7.016,"Delaware",2005
1233,NA,NA,22.07573,NA,8.644,"District of Columbia",2005
1234,0.393315,24.4,17.765454,0,5.981,"Florida",2005
1235,0.424735,18.2,16.365786,0,4.861,"Georgia",2005
1236,1.14739,30.3,29.249611,0,5.503,"Hawaii",2005
1237,0.619349,27.6,12.889375,0,4.795,"Idaho",2005
1238,1.00245,27.7,23.243986,1,5.657,"Illinois",2005
1239,0.597079,17.3,15.052965,0,5.628,"Indiana",2005
1240,0.390139,20,18.391025,1,5.793,"Iowa",2005
1241,0.852637,32.7,13.657378,1,5.735,"Kansas",2005
1242,0.035651,12.3,14.024021,0,5.655,"Kentucky",2005
1243,0.432574,17.4,15.575843,1,5.556,"Louisiana",2005
1244,0.976846,23.1,19.456293,1,7.065,"Maine",2005
1245,1.06752,35.6,24.497671,0,6.058,"Maryland",2005
1246,1.30841,25,25.313553,0,7.436,"Massachusetts",2005
1247,2.09425,20.3,20.368829,1,5.449,"Michigan",2005
1248,0.491355,29.9,19.70303,0,6.252,"Minnesota",2005
1249,0.21967,NA,15.241296,0,5.389,"Mississippi",2005
1250,0.183704,20.8,17.343963,0,5.649,"Missouri",2005
1251,1.85949,24.7,16.517236,1,5.438,"Montana",2005
1252,0.682935,24.5,12.231844,0,5.97,"Nebraska",2005
1253,0.807869,33.3,21.723689,0,5.007,"Nevada",2005
1254,0.479393,30.4,18.208647,1,6.211,"New Hampshire",2005
1255,2.12621,15.8,20.774887,1,6.493,"New Jersey",2005
1256,0.988862,31.3,22.81446,1,5.233,"New Mexico",2005
1257,1.38282,22.2,23.985559,0,7.026,"New York",2005
1258,0.057672,22.9,16.890019,1,5.566,"North Carolina",2005
1259,0.474014,16.3,13.285747,0,6.241,"North Dakota",2005
1260,0.586865,19.7,18.567965,0,6.073,"Ohio",2005
1261,1.24945,14.8,11.951442,1,5.35,"Oklahoma",2005
1262,1.18523,27.8,23.156222,1,5.414,"Oregon",2005
1263,1.34428,13.4,18.209774,1,6.589,"Pennsylvania",2005
1264,2.26885,16.8,24.085047,0,6.979,"Rhode Island",2005
1265,0.082114,8.2,15.656325,0,5.421,"South Carolina",2005
1266,0.568389,16.2,14.200482,0,5.77,"South Dakota",2005
1267,0.235225,17.4,15.207215,1,5.743,"Tennessee",2005
1268,0.496265,19.3,14.763638,0,5.028,"Texas",2005
1269,0.706896,20.2,12.344077,0,4.346,"Utah",2005
1270,1.12987,33.3,23.78314,0,6.636,"Vermont",2005
1271,0.221854,15,18.397707,1,5.183,"Virginia",2005
1272,1.39139,33.3,24.304599,1,5.437,"Washington",2005
1273,0.664277,15.7,14.618899,1,6.67,"West Virginia",2005
1274,0.804725,25.8,19.013181,1,6.147,"Wisconsin",2005
1275,0.647215,14.4,11.971579,1,5.733,"Wyoming",2005
1276,0.486931,11.4,17.066763,0,5.792,"Alabama",2006
1277,1.52284,18.3,19.274978,0,7.567,"Alaska",2006
1278,1.20848,33.3,19.87876,1,4.895,"Arizona",2006
1279,0.689459,17,17.021035,0,5.428,"Arkansas",2006
1280,0.763264,30.8,26.97434,0,5.384,"California",2006
1281,0.781392,32,21.939498,0,5.299,"Colorado",2006
1282,1.26494,NA,25.491345,0,7.454,"Connecticut",2006
1283,0.568257,33.9,36.080772,1,7.35,"Delaware",2006
1284,NA,NA,21.737296,NA,9.019,"District of Columbia",2006
1285,0.3778,24.4,19.121342,0,6.303,"Florida",2006
1286,0.408399,18.6,16.094499,0,5.109,"Georgia",2006
1287,1.08834,31.6,26.332452,0,5.71,"Hawaii",2006
1288,0.59412,27.6,17.440843,0,5.07,"Idaho",2006
1289,0.974717,27.1,21.990544,1,5.977,"Illinois",2006
1290,0.580509,18,17.53329,0,5.984,"Indiana",2006
1291,0.379295,20,19.648999,1,6.118,"Iowa",2006
1292,0.828372,32.1,17.240979,1,5.997,"Kansas",2006
1293,0.343156,11.6,18.20907,0,5.933,"Kentucky",2006
1294,0.411494,17.4,19.670868,1,6.074,"Louisiana",2006
1295,1.87383,23.1,23.106341,1,7.377,"Maine",2006
1296,1.02329,35.6,23.814467,0,6.534,"Maryland",2006
1297,1.24302,25.5,27.922346,0,8.002,"Massachusetts",2006
1298,2.03746,20.3,19.397297,1,5.828,"Michigan",2006
1299,1.22507,31.3,19.674014,0,6.612,"Minnesota",2006
1300,0.211544,13.8,18.27528,0,5.799,"Mississippi",2006
1301,0.17862,21.3,20.236141,0,5.78,"Missouri",2006
1302,1.78522,24.7,19.204473,1,5.748,"Montana",2006
1303,0.66415,24.5,15.712029,0,6.393,"Nebraska",2006
1304,0.773474,33.3,21.970444,0,5.227,"Nevada",2006
1305,0.704468,30.4,22.178211,1,6.677,"New Hampshire",2006
1306,2.02151,19.2,23.502351,1,6.803,"New Jersey",2006
1307,0.94794,31.3,22.053002,1,5.521,"New Mexico",2006
1308,1.31672,22.6,26.920545,0,7.417,"New York",2006
1309,0.33243,22.9,19.544899,1,5.865,"North Carolina",2006
1310,0.46143,16.3,16.06163,0,6.619,"North Dakota",2006
1311,1.29676,18.9,20.005022,0,6.318,"Ohio",2006
1312,1.20282,14.8,15.5119,1,5.69,"Oklahoma",2006
1313,1.13244,27.8,23.196869,1,5.766,"Oregon",2006
1314,1.28773,13.4,22.443228,1,6.86,"Pennsylvania",2006
1315,2.16835,16.8,26.051709,0,7.316,"Rhode Island",2006
1316,0.078997,8.8,18.193158,0,5.673,"South Carolina",2006
1317,0.55369,16.2,17.632591,0,6.122,"South Dakota",2006
1318,0.226355,17.4,17.065586,1,5.916,"Tennessee",2006
1319,0.477476,20.4,17.358255,0,5.242,"Texas",2006
1320,0.675848,21.2,17.890722,0,4.486,"Utah",2006
1321,1.08149,33.3,27.098241,0,6.804,"Vermont",2006
1322,0.319536,17.1,17.786921,1,5.48,"Virginia",2006
1323,1.88595,33.3,24.513209,1,5.705,"Washington",2006
1324,0.63973,15.7,16.351307,1,7.017,"West Virginia",2006
1325,0.782538,25.8,20.789629,1,6.54,"Wisconsin",2006
1326,0.621032,15.6,17.284373,1,6.163,"Wyoming",2006
1327,0.470227,12.9,13.618236,0,5.948,"Alabama",2007
1328,1.6448,21.7,19.762897,0,8.053,"Alaska",2007
1329,1.96992,33.3,21.378303,1,5.133,"Arizona",2007
1330,0.666301,20.7,15.460368,1,5.693,"Arkansas",2007
1331,0.728586,27.5,26.827957,0,5.732,"California",2007
1332,0.749026,34,23.476206,1,5.5,"Colorado",2007
1333,1.20874,28.3,27.095814,0,7.837,"Connecticut",2007
1334,0.547771,30.6,41.180894,1,7.75,"Delaware",2007
1335,NA,NA,20.790467,NA,9.476,"District of Columbia",2007
1336,0.364209,23.1,18.507832,0,6.577,"Florida",2007
1337,0.39367,19.5,17.042375,0,5.259,"Georgia",2007
1338,1.18424,32.9,31.297819,0,6.258,"Hawaii",2007
1339,0.572148,23.8,17.901615,0,5.313,"Idaho",2007
1340,0.950284,27.1,20.528627,1,6.368,"Illinois",2007
1341,0.565978,19.3,18.096189,0,6.261,"Indiana",2007
1342,0.369513,22.7,18.797928,1,6.358,"Iowa",2007
1343,0.807235,29.1,16.181792,1,6.275,"Kansas",2007
1344,0.33137,11.6,15.781948,0,6.123,"Kentucky",2007
1345,0.396589,17.4,15.233246,1,6.302,"Louisiana",2007
1346,1.80239,31.2,24.026725,1,7.717,"Maine",2007
1347,0.984126,31.9,22.829168,1,6.881,"Maryland",2007
1348,1.18575,24.5,29.094908,1,8.568,"Massachusetts",2007
1349,1.98677,19.6,22.783748,1,6.137,"Michigan",2007
1350,1.19427,34.8,20.301782,0,6.978,"Minnesota",2007
1351,0.204316,NA,15.453771,0,6.129,"Mississippi",2007
1352,0.174086,19.3,18.156587,0,6.281,"Missouri",2007
1353,1.71951,24.7,20.938882,1,6.072,"Montana",2007
1354,0.647222,18.4,16.183892,0,6.662,"Nebraska",2007
1355,0.743055,30.2,24.509853,0,5.471,"Nevada",2007
1356,0.675703,35.6,22.538677,1,7.12,"New Hampshire",2007
